"station","attraction"
"垡头","翠城公园"
"双合","古塔公园"
"黄厂","马家湾湿地公园"
"郎辛庄","萧太后河公园"
"黑庄户","绿丰休闲公园"
"黑庄户","萧太后河公园"
"万盛西","荣宝斋画院"
"万盛东","荣宝斋画院"
"育知路","回龙园"
"回龙观东大街","半塔郊野公园"
"回龙观东大街","霍营公园"
"西小口","西小口公园"
"西小口","小营公园"
"西小口","东小口城市休闲公园"
"西小口","碧水风荷公园"
"永泰庄","永泰绿色生态园"
"永泰庄","碧水风荷公园"
"林萃桥","奥林匹克森林公园"
"森林公园南门","奥林匹克森林公园"
"奥林匹克公园","北京奥林匹克公园"
"奥体中心","北京奥林匹克公园"
"奥体中心","奥体中心"
"奥体中心","鸟巢"
"奥体中心","水立方"
"奥体中心","北京中华民族园"
"北土城","元大都城垣遗址公园"
"安华桥","玫瑰公园"
"安华桥","西黄寺"
"安德里北街","青年湖公园"
"安德里北街","人定湖公园"
"安德里北街","柳荫公园"
"鼓楼大街","安德城市森林公园"
"鼓楼大街","北二环城市公园"
"鼓楼大街","北滨河公园"
"什刹海","钟鼓楼"
"什刹海","什刹海"
"什刹海","南锣鼓巷"
"什刹海","北海公园"
"南锣鼓巷","南锣鼓巷"
"南锣鼓巷","嵩祝寺及智珠寺"
"南锣鼓巷","僧王府"
"南锣鼓巷","景山公园"
"南锣鼓巷","皇城根遗址公园"
"中国美术馆","中国美术馆"
"中国美术馆","嵩祝寺及智珠寺"
"中国美术馆","北京大学红楼"
"中国美术馆","景山公园"
"金鱼胡同","普度寺"
"王府井","王府井大街"
"王府井","普度寺"
"前门","天安门广场"
"前门","北京警察博物馆"
"前门","正阳门·箭楼"
"前门","中国国家博物馆"
"前门","北京市规划展览馆"
"前门","中国铁道博物馆正阳门展馆"
"前门","前门大街"
"前门","月亮湾公园"
"前门","北京杜莎夫人蜡像馆"
"天桥","天坛公园"
"天桥","永定门公园"
"天桥","北京自然博物馆"
"天桥","北京天桥艺术中心"
"天桥","北京古代建筑博物馆"
"永定门外","景泰公园"
"永定门外","永定门城楼"
"海户屯","福海公园"
"大红门南","榴彩公园"
"大红门南","石榴庄城市休闲公园"
"大红门南","桃苑公园"
"和义","东高地公园"
"东高地","世界之花公园"
"五福堂","雷锋纪念馆"
"五福堂","市民公园"
"五福堂","旧宫森林公园"
"德茂","南海子公园"
"国家图书馆","国家图书馆"
"国家图书馆","紫竹院公园"
"国家图书馆","北京石刻艺术博物馆"
"国家图书馆","首都滑冰馆"
"国家图书馆","北京动物园"
"国家图书馆","极乐寺"
"国家图书馆","首都滑冰馆"
"军事博物馆","中国人民革命军事博物馆"
"军事博物馆","中华世纪坛世界艺术馆"
"军事博物馆","世纪园"
"军事博物馆","宋庆龄儿童科学技术馆"
"军事博物馆","玉渊潭公园"
"北京西","莲花池公园"
"六里桥东","莲花池公园"
"六里桥","万丰公园"
"六里桥","莲花池公园"
"六里桥","足球公园"
"丰台科技园","北京汽车博物馆"
"丰台南路","丰台科技园生态主题公园"
"科怡路","科丰公园"
"巴沟站","巴沟山水园"
"巴沟站","船营公园"
"火器营","金源娱乐园"
"火器营","蓝靛厂公园"
"火器营","蓝靛厂清真寺"
"火器营","融乐公园"
"长春桥","长春健身园"
"车道沟","曙光防灾教育公园"
"车道沟","南长河公园"
"车道沟","四季曙光公园"
"车道沟","车道沟公园"
"慈寿寺","京门铁路主题公园"
"慈寿寺","慈寿寺塔·玲珑公园"
"西钓鱼台","翠微烟雨公园"
"西钓鱼台","中塔公园"
"西钓鱼台","太平洋海底世界博览馆"
"西钓鱼台","定慧公园"
"西钓鱼台","中央电视塔"
"公主坟","玉渊潭公园"
"公主坟","太平洋海底世界博览馆"
"公主坟","中央电视塔"
"公主坟","翠微烟雨公园"
"公主坟","小天鹅公园"
"六里桥","万丰公园"
"六里桥","莲花池公园"
"六里桥","足球公园"
"泥洼","庄怡公园"
"泥洼","丰益公园"
"泥洼","东管头城市休闲公园"
"草桥","北京世界花卉大观园"
"角门西","嘉园三里公园"
"角门西","嘉囿城市休闲公园"
"十里河","弘善公园"
"十里河","北京市方志馆"
"潘家园","双馨园"
"潘家园","松榆里公园"
"国贸","庆丰公园"
"国贸","CBD城市森林公园"
"金台夕照","CBD历史文化公园"
"呼家楼","团结湖公园"
"团结湖","东枫国际体育园"
"团结湖","朝阳区农展馆"
"农业展览馆","朝阳区农展馆"
"亮马桥","左家庄文化园"
"三元桥","香河园公园"
"太阳宫","太阳宫公园"
"芍药居","元大都城垣遗址公园"
"芍药居","太阳宫公园"
"芍药居","元大都城垣遗址公园"
"惠新西街南口","元大都城垣遗址公园"
"安贞门","北京奥林匹克公园"
"北土城","元大都城垣遗址公园"
"健德门","元大都城垣遗址公园"
"健德门","玫瑰公园"
"牡丹园","元大都城垣遗址公园"
"牡丹园","元土城遗址公园"
"西土城","元土城遗址公园"
"六里桥","万丰公园"
"六里桥","莲花池公园"
"六里桥","足球公园"
"光熙门","和平街公园"
"东直门","南馆公园"
"东直门","通教寺"
"东直门","中国华侨历史博物馆"
"东直门","东直门外清真寺"
"东直门","中国医史博物馆"
"东直门","北京自来水博物馆"
"芍药居","元大都城垣遗址公园"
"芍药居","太阳宫公园"
"望京西","桐城公园"
"望京西","望和公园"
"望京西","北小河公园"
"望京西","护国天仙圣母庙"
"北苑","北京温榆河公园"
"北苑","林荫公园"
"北苑","清河营郊野公园"
"北苑","勇士营郊野公园"
"立水桥","立水桥公园"
"立水桥","东小口森林公园"
"龙泽","平衡车公园"
"龙泽","玉光寺"
"西二旗","中关村公园"
"上地","树村郊野公园"
"大钟寺","大钟寺古钟博物馆"
"张郭庄","北京园博园"
"园博园","北京园博园"
"园博园","晓月郊野公园"
"园博园","卢沟桥"
"大瓦窑","宛平城和卢沟桥"
"大瓦窑","经仪公园"
"郭庄子","郭庄子公园"
"大井","丰台花园"
"菜户营","金中都公园"
"景风门","万芳亭"
"景风门","嘉河公园"
"北京南站","万芳亭"
"永定门外","景泰公园"
"永定门外","永定门城楼"
"十里河","弘善公园"
"十里河","北京市方志馆"
"平乐园","窑洼湖公园"
"大望路","国家电力科技展示中心"
"大望路","中工艺美公共外交艺术馆"
"金台路","万科公园"
"金台路","红领巾公园"
"朝阳公园","朝阳公园"
"枣营","朝阳公园"
"将台","颐堤港公园"
"将台","驼房营公园"
"将台","四得公园"
"将台","丽都花园"
"将台","将台滨河公园"
"将台","将府公园"
"望京南","798艺术街区"
"望京南","活的3D博物馆"
"望京南","丽都花园"
"望京南","望京公园"
"望京南","大望京公园"
"阜通","金隅南湖公园"
"阜通","望和公园"
"望京","望京文化体育公园"
"望京","望和公园"
"望京","北小河公园"
"东湖渠","望湖公园"
"来广营","纬景园"
"来广营","瑞竹园"
"来广营","十友园"
"善各庄","宏昌竣体育公园"
"善各庄","善各庄公园"
"俸伯","顺义新城滨河森林公园"
"俸伯","潮白河森林公园"
"顺义","潮白河森林公园"
"顺义","光明文化广场"
"顺义","顺义公园"
"顺义","怡园公园"
"石门","卧龙公园"
"后沙峪","兴峪城市森林公园"
"后沙峪","花博会主题公园"
"国展","中国国际展览中心(顺义馆)"
"花梨坎","安华壹号艺术馆"
"孙河","孙河郊野公园"
"马泉营","何里栖地公园"
"崔各庄","马南里公园"
"望京东","大望京公园"
"望京","望京文化体育公园"
"望京","望和公园"
"望京","北小河公园"
"望京西","桐城公园"
"望京西","望和公园"
"望京西","北小河公园"
"望京西","护国天仙圣母庙"
"关庄","华汇紫薇公园"
"关庄","黄草湾郊野公园"
"安立路","仰山公园"
"奥林匹克公园","北京奥林匹克公园"
"北沙滩","北极寺公园"
"六道口","东升八家郊野公园"
"大屯路东","仰山公园"
"清华东路西口","清华大学"
"北安河","北京鹫峰国家森林公园"
"温阳路","海淀区集体生态林景观林"
"温阳路","齐物潭"
"稻香湖路","稻香湖公园"
"稻香湖路","齐物潭"
"稻香湖路","温泉公园"
"永丰","数智企业体验馆"
"永丰南","航天湖公园"
"西北旺","百旺公园"
"马连洼","百望山"
"马连洼","药用植物园"
"农大南路","树村郊野公园"
"万泉河桥","海淀公园"
"万寿寺","南长河公园"
"万寿寺","万寿寺"
"万寿寺","中国剧院"
"万寿寺","延庆寺"
"万寿寺","紫竹院公园"
"万寿寺","北京艺术博物馆"
"万寿寺","李四光纪念馆"
"国家图书馆","国家图书馆"
"国家图书馆","紫竹院公园"
"国家图书馆","北京石刻艺术博物馆"
"国家图书馆","首都滑冰馆"
"国家图书馆","北京动物园"
"国家图书馆","极乐寺"
"国家图书馆","首都滑冰馆"
"甘家口","北京银杏树林"
"玉渊潭东门","玉渊潭公园"
"周家庄","小武基公园"
"十八里店","海棠公园"
"十八里店","老君堂公园"
"次渠北","东石公园"
"次渠北","阡陌风韵城市田园带型休闲公园"
"次渠北","乐跑公园"
"次渠","东石公园"
"牡丹园","元大都城垣遗址公园"
"牡丹园","元土城遗址公园"
"北太平庄","双秀公园"
"北太平庄","马甸清真寺"
"北太平庄","马甸公园"
"积水潭","什刹海"
"积水潭","潭西胜境"
"积水潭","德胜门箭楼·德胜公园"
"平安里","护国寺小吃街"
"平安里","毗卢寺"
"平安里","梅兰芳纪念馆"
"牛街","北京宣南文化博物馆"
"牛街","广宁公园"
"牛街","牛街礼拜寺"
"牛街","清真女寺"
"新发地","槐新公园"
"新发地","海子公园"
"新发地","白盆窑公园"
"草桥","北京世界花卉大观园"
"新宫","南苑公园"
"昌平西山口站","乐多港假日广场"
"十三陵景区站","乐多港假日广场"
"十三陵景区站","明十三陵"
"昌平","昌平公园"
"昌平","北山公园"
"昌平东关","白浮泉公园-汀河公园"
"南邵站","泰禾悦动公园"
"巩华城","昌平新城滨河森林公园(沙河镇)"
"巩华城","翠明湖"
"巩华城","朝宗桥公园"
"西二旗","中关村公园"
"肖村","芳林公园"
"小红门","旺兴湖公园"
"小红门","鸿博公园"
"小红门","镇海寺郊野公园"
"旧宫","亦庄新城滨河森林公园"
"旧宫","河滨公园"
"旧宫","碧海公园"
"旧宫","旺兴湖公园"
"亦庄桥","大兴区亦庄文化园"
"亦庄文化园","亦庄文化园"
"万源街","博大公园"
"荣京东街","博大公园"
"荣京东街","亦庄新城滨河森林公园"
"同济南路站","亦庄新城滨河森林公园"
"经海路站","通明湖公园"
"次渠","东石公园"
"次渠南站","通明湖公园"
"亦庄火车站站","阡陌风韵城市田园带型休闲公园"
"星城","日盛袜文化博物馆"
"大石河东","温馨公园"
"马各庄","温馨公园"
"房山城关","迎宾公园"
"房山城关","卧虎山生态森林公园"
"房山城关","牛口峪公园"
"房山城关","朝曦公园"
"燕山","大洪寺"
"燕山","燕山公园"
"燕山","燕山石化展览馆"
"燕山","宏塔公园"
"东管头南站","丽泽金融商务区城市运动休闲公园"
"东管头南站","滨水文化公园"
"东管头南站","丰益公园"
"花乡东桥站","纪家庙公园"
"白盆窑站","白盆窑公园"
"白盆窑站","北京汽车博物馆"
"大葆台","御康公园"
"大葆台","世界公园"
"大葆台","大葆台西汉墓博物馆"
"大葆台","高鑫公园"
"大葆台","狼垡公园"
"稻田站","北京莱恩堡国际酒庄"
"稻田站","兰花文化休闲公园"
"稻田站","北京市房山森林城市主题公园"
"稻田站","房车世界露营公园"
"长阳站","长阳体育公园"
"篱笆房","长阳公园"
"篱笆房","长阳音乐主题公园"
"篱笆房","长阳体育公园"
"篱笆房","共和国部长纪念林"
"篱笆房","长兴公园"
"广阳城站","长阳公园"
"广阳城站","金隅公园"
"广阳城站","广阳城森林公园"
"良乡大学城北","良乡大学城公园"
"良乡大学城北","金隅公园"
"良乡大学城北","广阳城森林公园"
"良乡大学城","良乡大学城公园"
"良乡大学城","时光公园"
"良乡大学城西站","良乡大学城公园"
"良乡大学城西站","昊天公园"
"良乡大学城西站","昊天碳中和公园"
"良乡南关站","良香公园"
"东直门","南馆公园"
"东直门","通教寺"
"东直门","中国华侨历史博物馆"
"东直门","东直门外清真寺"
"东直门","中国医史博物馆"
"东直门","北京自来水博物馆"
"三元桥","香河园公园"
"草桥","北京世界花卉大观园"
"大兴机场","大兴机场"
"大兴新城","团河行宫遗址公园"
"金安桥","首钢工业遗址公园"
"金安桥","石景山公园"
"苹果园","Kappa首钢极限公园"
"苹果园","中国第四纪冰川遗迹陈列馆"
"苹果园","勑赐承恩寺"
"四道桥站","绿海运动公园"
"桥户营站","绿海运动公园"
"桥户营站","葡山公园"
"小园站","石门营文化公园"
"石厂站","西峰寺"
"颐和园西门站","颐和园"
"颐和园西门站","北坞公园"
"颐和园西门站","中坞公园"
"颐和园西门站","两山公园·玉东郊野公园"
"茶棚站","影湖楼公园"
"茶棚站","玉泉公园"
"茶棚站","园外园玩茶棚公园"
"茶棚站","北坞公园"
"万安站","永泰·自在香山公园"
"万安站","丹青圃公园"
"万安站","妙云寺"
"国家植物园","妙云寺"
"国家植物园","国家植物园"
"香山站","香山公园"
"香山站","香山革命纪念馆"
"巴沟站","巴沟山水园"
"巴沟站","船营公园"
