id1,id2,stnName1,stnName2,length
173,174,永泰庄,林萃桥,
174,175,林萃桥,森林公园南门,
175,176,森林公园南门,奥林匹克公园,
176,177,奥林匹克公园,奥体中心,
177,178,奥体中心,北土城,
178,179,北土城,安华桥,
179,180,安华桥,安德里北街,
180,37,安德里北街,鼓楼大街,
37,182,鼓楼大街,什刹海,
182,120,什刹海,南锣鼓巷,
120,144,南锣鼓巷,珠市口,
144,185,珠市口,永定门外,
185,186,永定门外,郭公庄,
186,187,郭公庄,丰台科技园,
187,188,丰台科技园,科怡路,
188,189,科怡路,丰台南路,
189,190,丰台南路,丰台东大街,
190,191,丰台东大街,七里庄,
191,192,七里庄,六里桥,
192,193,六里桥,六里桥东,
193,138,六里桥东,北京西站,
138,7,北京西站,军事博物馆,
7,196,军事博物馆,白堆子,
196,115,白堆子,白石桥南,
115,62,白石桥南,国家图书馆,
62,199,国家图书馆,丰台站,
199,200,丰台站,泥洼,
200,201,泥洼,西局,
201,192,西局,六里桥,
192,203,六里桥,莲花桥,
203,6,莲花桥,公主坟,
6,205,公主坟,西钓鱼台,
205,113,西钓鱼台,慈寿寺,
113,207,慈寿寺,车道沟,
207,208,车道沟,长春桥,
208,209,长春桥,火器营,
209,210,火器营,巴沟,
210,211,巴沟,苏州街,
211,59,苏州街,海淀黄庄,
59,213,海淀黄庄,知春里,
213,214,知春里,知春路,
214,215,知春路,西土城,
215,216,西土城,牡丹园,
216,217,牡丹园,健德门,
217,178,健德门,北土城,
178,219,北土城,安贞门,
219,96,安贞门,惠新西街南口,
96,221,惠新西街南口,芍药居,
221,222,芍药居,太阳宫,
222,223,太阳宫,三元桥,
223,224,三元桥,亮马桥,
224,225,亮马桥,农业展览馆,
225,226,农业展览馆,团结湖,
226,124,团结湖,呼家楼,
124,228,呼家楼,金台夕照,
228,18,金台夕照,国贸,
18,149,国贸,双井,
149,231,双井,劲松,
231,232,劲松,潘家园,
232,233,潘家园,十里河,
233,234,十里河,分钟寺,
234,235,分钟寺,成寿寺,
235,110,成寿寺,宋家庄,
110,237,宋家庄,石榴庄,
237,238,石榴庄,大红门,
238,239,大红门,角门东,
239,75,角门东,角门西,
75,241,角门西,草桥,
241,242,草桥,纪家庙,
242,243,纪家庙,首经贸,
243,35,首经贸,西直门,
35,245,西直门,大钟寺,
245,214,大钟寺,知春路,
214,247,知春路,五道口,
247,248,五道口,上地,
248,249,上地,清河站,
249,250,清河站,西二旗,
250,251,西二旗,龙泽,
251,252,龙泽,回龙观,
252,170,回龙观,霍营,
170,91,霍营,立水桥,
91,255,立水桥,北苑,
255,256,北苑,望京西,
256,221,望京西,芍药居,
221,258,芍药居,光熙门,
258,259,光熙门,柳芳,
259,40,柳芳,东直门,
40,261,东直门,善各庄,
261,262,善各庄,来广营,
262,263,来广营,东湖渠,
263,264,东湖渠,望京,
264,265,望京,阜通,
265,266,阜通,望京南,
266,267,望京南,将台,
267,268,将台,东风北桥,
268,269,东风北桥,枣营,
269,270,枣营,朝阳公园,
270,125,朝阳公园,金台路,
125,19,金台路,大望路,
19,150,大望路,九龙山,
150,274,九龙山,平乐园,
274,275,平乐园,北工大西门,
275,233,北工大西门,十里河,
233,277,十里河,方庄,
277,108,方庄,蒲黄榆,
108,279,蒲黄榆,景泰,
279,185,景泰,永定门外,
185,73,永定门外,北京南站,
73,282,北京南站,景风门,
282,283,景风门,西铁营,
283,284,西铁营,菜户营,
284,285,菜户营,丽泽商务区,
285,286,丽泽商务区,东管头,
286,201,东管头,西局,
201,191,西局,七里庄,
191,289,七里庄,大井,
289,290,大井,郭庄子,
290,291,郭庄子,大瓦窑,
291,292,大瓦窑,园博园,
292,293,园博园,张郭庄,
293,294,张郭庄,清华东路西口,
294,295,清华东路西口,六道口,
295,296,六道口,北沙滩,
296,176,北沙滩,奥林匹克公园,
176,298,奥林匹克公园,安立路,
298,94,安立路,大屯路东,
94,300,大屯路东,关庄,
300,256,关庄,望京西,
256,264,望京西,望京,
264,303,望京,望京东,
303,304,望京东,崔各庄,
304,305,崔各庄,马泉营,
305,306,马泉营,孙河,
306,307,孙河,国展,
307,308,国展,花梨坎,
308,309,花梨坎,后沙峪,
309,310,后沙峪,南法信,
310,311,南法信,石门,
311,312,石门,顺义,
312,313,顺义,俸伯,
313,314,俸伯,北安河,
314,315,北安河,温阳路,
315,316,温阳路,稻香湖路,
316,317,稻香湖路,屯佃,
317,318,屯佃,永丰,
318,319,永丰,永丰南,
319,320,永丰南,西北旺,
320,321,西北旺,马连洼,
321,322,马连洼,农大南路,
322,55,农大南路,西苑,
55,324,西苑,万泉河桥,
324,325,万泉河桥,苏州桥,
325,326,苏州桥,万寿寺,
326,62,万寿寺,国家图书馆,
62,328,国家图书馆,甘家口,
328,329,甘家口,玉渊潭东门,
329,8,玉渊潭东门,木樨地,
8,140,木樨地,达官营,
140,199,达官营,丰台站,
199,189,丰台站,丰台南路,
189,241,丰台南路,草桥,
241,335,草桥,大兴新城,
335,336,大兴新城,大兴机场,
336,215,大兴机场,西土城,
215,338,西土城,学院桥,
338,295,学院桥,六道口,
295,340,六道口,学知园,
340,341,学知园,清河小营桥,
341,249,清河小营桥,清河站,
249,250,清河站,西二旗,
250,344,西二旗,生命科学园,
344,166,生命科学园,朱辛庄,
166,346,朱辛庄,巩华城,
346,347,巩华城,沙河,
347,348,沙河,沙河高教园,
348,349,沙河高教园,南邵,
349,350,南邵,北邵洼,
350,351,北邵洼,昌平东关,
351,352,昌平东关,昌平,
352,353,昌平,十三陵景区,
353,354,十三陵景区,昌平西山口,
354,110,昌平西山口,宋家庄,
110,356,宋家庄,肖村,
356,357,肖村,小红门,
357,358,小红门,旧宫,
358,359,旧宫,亦庄桥,
359,360,亦庄桥,亦庄文化园,
360,361,亦庄文化园,万源街,
361,362,万源街,荣京东街,
362,363,荣京东街,荣昌东街,
363,364,荣昌东街,同济南路,
364,365,同济南路,经海路,
365,366,经海路,次渠南,
366,367,次渠南,次渠,
367,186,次渠,郭公庄,
186,369,郭公庄,大葆台,
369,370,大葆台,稻田,
370,371,稻田,长阳,
371,372,长阳,篱笆房,
372,373,篱笆房,广阳城,
373,374,广阳城,良乡大学城北,
374,375,良乡大学城北,良乡大学城,
375,376,良乡大学城,良乡大学城西,
376,377,良乡大学城西,良乡南关,
377,378,良乡南关,苏庄,
378,100,苏庄,北新桥,
100,40,北新桥,东直门,
40,223,东直门,三元桥,
223,382,三元桥,3号航站楼,
382,383,3号航站楼,2号航站楼,
383,223,2号航站楼,三元桥,
223,111,三元桥,苹果园,
111,386,苹果园,定海园,
386,387,定海园,定海园西,
387,388,定海园西,经海一路(京东方),
388,389,经海一路(京东方),亦创会展中心,
389,363,亦创会展中心,荣昌东街,
363,391,荣昌东街,,
391,392,,亦庄同仁,
392,393,亦庄同仁,鹿圈东,
393,394,鹿圈东,泰河路,
394,395,泰河路,九号村(奔驰北),
395,396,九号村(奔驰北),四海庄,
396,397,四海庄,太和桥北,
397,398,太和桥北,瑞合庄,
398,399,瑞合庄,融兴街,
399,400,融兴街,屈庄(奔驰南),
